time,temperature,humidity,pressure,di
2019/03/09 00:00:42,19.92,32.4,1023.84,64.19
2019/03/09 00:01:39,19.92,32.57,1023.94,64.2
2019/03/09 00:02:39,19.9,32.6,1023.87,64.18
2019/03/09 00:03:40,19.89,32.71,1023.92,64.17
2019/03/09 00:04:39,19.85,32.4,1023.82,64.11
2019/03/09 00:05:41,19.83,32.25,1023.92,64.08
2019/03/09 00:06:40,19.75,32.3,1023.93,63.99
2019/03/09 00:07:39,19.77,32.19,1023.85,64.01
2019/03/09 00:08:39,19.81,32.07,1023.83,64.04
2019/03/09 00:09:39,19.85,32.07,1023.82,64.09
2019/03/09 00:10:41,19.83,32.02,1023.9,64.07
2019/03/09 00:11:39,19.85,31.93,1023.97,64.09
2019/03/09 00:12:39,19.83,31.93,1023.93,64.07
2019/03/09 00:13:40,19.76,32.0,1023.86,63.99
2019/03/09 00:14:39,19.81,31.87,1023.92,64.03
2019/03/09 00:15:41,19.78,32.02,1023.93,64.01
2019/03/09 00:16:39,19.72,32.27,1023.88,63.96
2019/03/09 00:17:40,19.67,32.31,1023.9,63.91
2019/03/09 00:18:39,19.6,32.72,1023.94,63.85
2019/03/09 00:19:39,19.58,33.1,1023.93,63.84
2019/03/09 00:20:41,19.57,32.77,1023.92,63.82
2019/03/09 00:21:39,19.64,33.08,1023.95,63.91
2019/03/09 00:22:39,19.67,32.99,1024.0,63.94
2019/03/09 00:23:39,19.65,32.74,1024.02,63.9
2019/03/09 00:24:39,19.6,32.87,1023.99,63.85
2019/03/09 00:25:42,19.57,33.14,1024.02,63.83
2019/03/09 00:26:39,19.58,33.04,1024.09,63.84
2019/03/09 00:27:40,19.58,32.95,1024.06,63.83
2019/03/09 00:28:39,19.56,32.7,1024.08,63.8
2019/03/09 00:29:38,19.52,32.83,1024.06,63.76
2019/03/09 00:30:41,19.53,32.92,1024.08,63.78
2019/03/09 00:31:39,19.53,32.67,1024.08,63.76
2019/03/09 00:32:40,19.52,32.86,1024.04,63.76
2019/03/09 00:33:38,19.51,32.77,1024.06,63.75
2019/03/09 00:34:39,19.49,32.61,1024.02,63.72
2019/03/09 00:35:41,19.48,33.05,1024.08,63.73
2019/03/09 00:36:39,19.45,32.83,1024.05,63.68
2019/03/09 00:37:39,19.45,32.87,1024.06,63.69
2019/03/09 00:38:39,19.43,32.71,1024.0,63.66
2019/03/09 00:39:39,19.41,32.73,1024.12,63.63
2019/03/09 00:40:40,19.39,32.6,1024.11,63.6
2019/03/09 00:41:39,19.37,32.48,1024.05,63.57
2019/03/09 00:42:39,19.35,32.62,1024.09,63.56
2019/03/09 00:43:39,19.34,32.53,1024.22,63.55
2019/03/09 00:44:39,19.33,32.61,1024.11,63.53
2019/03/09 00:45:41,19.3,32.62,1024.12,63.5
2019/03/09 00:46:39,19.29,32.53,1024.1,63.48
2019/03/09 00:47:39,19.26,32.57,1024.1,63.45
2019/03/09 00:48:39,19.26,32.62,1024.1,63.45
2019/03/09 00:49:39,19.26,32.74,1024.05,63.46
2019/03/09 00:50:41,19.24,32.81,1024.06,63.44
2019/03/09 00:51:39,19.23,32.71,1023.99,63.42
2019/03/09 00:52:40,19.22,33.09,1024.08,63.43
2019/03/09 00:53:39,19.21,33.05,1024.09,63.42
2019/03/09 00:54:39,19.27,33.23,1024.01,63.49
2019/03/09 00:55:41,19.29,33.04,1024.1,63.51
2019/03/09 00:56:39,19.28,33.1,1023.98,63.5
2019/03/09 00:57:39,19.27,33.37,1024.03,63.5
2019/03/09 00:58:39,19.27,32.82,1023.95,63.47
2019/03/09 00:59:38,19.25,32.8,1024.05,63.45
2019/03/09 01:00:41,19.21,33.19,1024.02,63.43
2019/03/09 01:01:39,19.16,33.25,1024.03,63.37
2019/03/09 01:02:39,19.13,33.51,1024.01,63.35
2019/03/09 01:03:39,19.16,33.92,1024.08,63.4
2019/03/09 01:04:39,19.06,34.63,1024.08,63.32
2019/03/09 01:05:41,19.0,34.93,1024.02,63.26
2019/03/09 01:06:39,19.0,34.96,1024.13,63.26
2019/03/09 01:07:40,18.97,35.1,1024.13,63.23
2019/03/09 01:08:39,18.95,34.94,1024.04,63.2
2019/03/09 01:09:39,18.89,35.2,1024.11,63.15
2019/03/09 01:10:41,18.88,35.08,1024.08,63.13
2019/03/09 01:11:39,18.87,34.99,1024.12,63.11
2019/03/09 01:12:40,18.85,35.32,1024.2,63.11
2019/03/09 01:13:40,18.81,35.3,1024.17,63.06
2019/03/09 01:14:39,18.8,35.48,1024.1,63.05
2019/03/09 01:15:41,18.78,35.94,1024.15,63.05
2019/03/09 01:16:39,18.79,35.8,1024.15,63.06
2019/03/09 01:17:39,18.8,35.72,1024.18,63.06
2019/03/09 01:18:39,18.76,35.82,1024.12,63.03
