time,temperature,humidity,pressure,di
2019/03/15 00:00:42,20.82,30.38,1019.26,65.08
2019/03/15 00:01:39,20.76,30.48,1019.27,65.02
2019/03/15 00:02:40,20.78,30.37,1019.27,65.03
2019/03/15 00:03:39,20.81,30.25,1019.26,65.06
2019/03/15 00:04:39,20.76,30.28,1019.24,65.01
2019/03/15 00:05:41,20.76,30.21,1019.34,65.0
2019/03/15 00:06:39,20.75,30.14,1019.29,64.98
2019/03/15 00:07:39,20.81,30.05,1019.26,65.05
2019/03/15 00:08:39,20.76,29.94,1019.32,64.99
2019/03/15 00:09:40,20.76,30.02,1019.23,64.99
2019/03/15 00:10:40,20.74,30.02,1019.22,64.97
2019/03/15 00:11:39,20.72,29.96,1019.3,64.95
2019/03/15 00:12:39,20.67,29.91,1019.32,64.88
2019/03/15 00:13:39,20.64,29.88,1019.35,64.85
2019/03/15 00:14:39,20.67,29.79,1019.35,64.88
2019/03/15 00:15:41,20.66,29.72,1019.41,64.86
2019/03/15 00:16:40,20.63,29.65,1019.42,64.83
2019/03/15 00:17:39,20.62,29.82,1019.53,64.82
2019/03/15 00:18:39,20.59,29.72,1019.54,64.79
2019/03/15 00:19:39,20.56,29.59,1019.57,64.75
2019/03/15 00:20:40,20.58,29.63,1019.63,64.77
2019/03/15 00:21:40,20.54,29.56,1019.72,64.72
2019/03/15 00:22:39,20.49,29.54,1019.69,64.67
2019/03/15 00:23:39,20.51,29.58,1019.75,64.69
2019/03/15 00:24:39,20.5,29.52,1019.79,64.68
2019/03/15 00:25:41,20.48,29.44,1019.73,64.65
2019/03/15 00:26:38,20.49,29.37,1019.77,64.66
2019/03/15 00:27:39,20.47,29.39,1019.81,64.63
2019/03/15 00:28:39,20.45,29.35,1019.76,64.61
2019/03/15 00:29:38,20.42,29.38,1019.73,64.58
2019/03/15 00:30:41,20.4,29.38,1019.72,64.56
2019/03/15 00:31:39,20.4,29.28,1019.7,64.55
2019/03/15 00:32:39,20.39,29.28,1019.73,64.54
