time,temperature,humidity,pressure,di
2019/03/14 00:00:41,19.01,34.3,1011.14,63.25
2019/03/14 00:01:39,19.0,34.31,1011.09,63.24
2019/03/14 00:02:39,18.97,34.41,1011.2,63.2
2019/03/14 00:03:39,18.97,34.45,1011.2,63.2
2019/03/14 00:04:39,19.0,34.46,1011.31,63.25
2019/03/14 00:05:42,19.0,34.62,1011.27,63.25
2019/03/14 00:06:39,18.99,34.86,1011.2,63.25
2019/03/14 00:07:39,18.98,34.83,1011.24,63.23
2019/03/14 00:08:40,18.98,34.92,1011.21,63.24
2019/03/14 00:09:39,18.98,35.22,1011.27,63.25
2019/03/14 00:10:41,19.02,35.14,1011.33,63.29
2019/03/14 00:11:39,19.0,35.21,1011.28,63.28
2019/03/14 00:12:39,18.99,35.31,1011.36,63.27
2019/03/14 00:13:39,19.0,35.34,1011.36,63.29
2019/03/14 00:14:39,19.02,35.35,1011.41,63.3
2019/03/14 00:15:41,19.01,35.28,1011.32,63.29
2019/03/14 00:16:40,19.0,35.35,1011.25,63.29
2019/03/14 00:17:39,19.05,35.28,1011.36,63.34
2019/03/14 00:18:39,19.08,35.1,1011.25,63.36
2019/03/14 00:19:40,19.06,35.06,1011.41,63.34
2019/03/14 00:20:41,19.05,34.98,1011.42,63.33
2019/03/14 00:21:39,19.02,35.07,1011.41,63.29
2019/03/14 00:22:39,19.02,35.19,1011.37,63.3
2019/03/14 00:23:38,19.04,35.1,1011.45,63.32
2019/03/14 00:24:39,19.02,35.09,1011.36,63.29
2019/03/14 00:25:41,19.06,35.0,1011.46,63.33
2019/03/14 00:26:39,19.03,34.97,1011.39,63.3
2019/03/14 00:27:39,19.04,35.11,1011.47,63.32
2019/03/14 00:28:39,19.1,35.05,1011.45,63.39
2019/03/14 00:29:39,19.13,34.93,1011.45,63.42
2019/03/14 00:30:42,19.15,34.86,1011.56,63.43
2019/03/14 00:31:39,19.16,34.82,1011.55,63.45
2019/03/14 00:32:39,19.15,34.87,1011.61,63.43
2019/03/14 00:33:40,19.1,34.91,1011.63,63.38
