time,temperature,humidity,pressure,di
2019/03/17 00:00:41,20.55,40.38,1015.73,65.39
2019/03/17 00:01:40,20.59,40.22,1015.75,65.43
2019/03/17 00:02:39,20.6,40.31,1015.7,65.44
2019/03/17 00:03:39,20.64,40.13,1015.58,65.47
2019/03/17 00:04:39,20.61,40.15,1015.67,65.45
2019/03/17 00:05:41,20.59,40.05,1015.58,65.41
2019/03/17 00:06:39,20.56,40.3,1015.75,65.4
2019/03/17 00:07:39,20.53,40.04,1015.7,65.35
2019/03/17 00:08:39,20.5,40.32,1015.81,65.33
2019/03/17 00:09:40,20.49,40.54,1015.76,65.33
2019/03/17 00:10:42,20.44,40.45,1015.81,65.26
2019/03/17 00:11:39,20.44,40.43,1015.79,65.26
2019/03/17 00:12:39,20.42,40.47,1015.75,65.24
2019/03/17 00:13:39,20.42,40.93,1015.67,65.27
2019/03/17 00:14:39,20.38,40.48,1015.82,65.19
2019/03/17 00:15:42,20.37,40.6,1015.77,65.19
2019/03/17 00:16:40,20.39,40.64,1015.73,65.21
2019/03/17 00:17:39,20.34,40.77,1015.67,65.16
2019/03/17 00:18:39,20.34,41.03,1015.74,65.17
2019/03/17 00:19:39,20.35,41.44,1015.7,65.2
2019/03/17 00:20:42,20.34,41.17,1015.79,65.18
2019/03/17 00:21:39,20.31,41.06,1015.7,65.14
2019/03/17 00:22:39,20.3,41.22,1015.79,65.14
2019/03/17 00:23:39,20.31,40.61,1015.67,65.11
2019/03/17 00:24:38,20.27,41.14,1015.68,65.1
2019/03/17 00:25:41,20.27,40.7,1015.63,65.07
2019/03/17 00:26:39,20.24,41.54,1015.74,65.08
2019/03/17 00:27:39,20.23,41.66,1015.77,65.08
2019/03/17 00:28:39,20.23,41.33,1015.72,65.06
2019/03/17 00:29:39,20.24,41.19,1015.73,65.06
2019/03/17 00:30:41,20.21,41.35,1015.74,65.03
2019/03/17 00:31:39,20.22,41.45,1015.76,65.05
2019/03/17 00:32:39,20.21,41.24,1015.79,65.03
2019/03/17 00:33:39,20.19,41.06,1015.78,64.99
2019/03/17 00:34:40,20.19,41.16,1015.81,65.0
2019/03/17 00:35:41,20.18,41.33,1015.74,65.0
2019/03/17 00:36:39,20.16,41.01,1015.76,64.95
2019/03/17 00:37:39,20.13,41.38,1015.75,64.93
2019/03/17 00:38:39,20.13,41.16,1015.71,64.92
2019/03/17 00:39:39,20.14,41.02,1015.65,64.93
2019/03/17 00:40:41,20.12,41.07,1015.69,64.91
2019/03/17 00:41:39,20.12,41.25,1015.68,64.91
2019/03/17 00:42:39,20.12,41.04,1015.69,64.91
2019/03/17 00:43:39,20.11,40.3,1015.84,64.85
2019/03/17 00:44:39,20.07,40.84,1015.71,64.83
2019/03/17 00:45:41,20.07,41.1,1015.69,64.85
2019/03/17 00:46:39,20.06,40.95,1015.7,64.83
2019/03/17 00:47:39,20.03,41.25,1015.73,64.81
2019/03/17 00:48:39,20.03,41.03,1015.67,64.8
2019/03/17 00:49:38,20.04,40.86,1015.66,64.8
2019/03/17 00:50:41,20.07,40.16,1015.73,64.79
2019/03/17 00:51:39,20.06,40.47,1015.74,64.8
2019/03/17 00:52:38,20.03,40.52,1015.81,64.77
2019/03/17 00:53:39,20.08,40.45,1015.73,64.82
2019/03/17 00:54:39,20.05,39.9,1015.79,64.76
2019/03/17 00:55:41,20.03,40.44,1015.86,64.76
2019/03/17 00:56:39,20.05,41.1,1015.79,64.82
2019/03/17 00:57:39,20.04,41.43,1015.82,64.83
2019/03/17 00:58:39,20.01,41.05,1015.82,64.77
2019/03/17 00:59:38,20.01,41.37,1015.79,64.78
2019/03/17 01:00:41,19.98,41.44,1015.71,64.75
2019/03/17 01:01:38,19.96,41.2,1015.84,64.71
2019/03/17 01:02:39,19.96,41.9,1015.84,64.75
2019/03/17 01:03:39,19.94,41.65,1015.81,64.72
2019/03/17 01:04:39,19.94,41.21,1015.81,64.7
2019/03/17 01:05:41,19.91,41.21,1015.9,64.66
2019/03/17 01:06:39,19.92,41.54,1015.88,64.68
2019/03/17 01:07:39,19.93,41.6,1015.92,64.7
2019/03/17 01:08:39,19.91,41.37,1015.81,64.66
2019/03/17 01:09:39,19.87,41.48,1015.88,64.62
2019/03/17 01:10:41,19.88,41.76,1015.9,64.65
2019/03/17 01:11:39,19.89,41.09,1015.91,64.62
2019/03/17 01:12:39,19.87,40.82,1015.83,64.59
2019/03/17 01:13:39,19.87,41.16,1015.93,64.61
2019/03/17 01:14:40,19.86,41.08,1015.96,64.58
2019/03/17 01:15:41,19.85,41.15,1015.93,64.58
2019/03/17 01:16:39,19.83,41.35,1015.89,64.57
2019/03/17 01:17:39,19.83,41.18,1015.99,64.55
2019/03/17 01:18:39,19.81,40.98,1015.96,64.52
2019/03/17 01:19:40,19.82,40.92,1015.9,64.53
2019/03/17 01:20:41,19.8,41.13,1015.89,64.52
